country,year,population,population_growth_rate,fertility_rate,median_age,urban_population,population_density,continent,income_group
Afghanistan,1960,37485284,3.58,7.54,18.4,23.4,11.68,Asia,Low income
Albania,1960,95073894,3.22,7.59,20.7,15.2,18.56,Europe,Upper middle income
Algeria,1960,73212794,3.59,7.17,20.8,18.9,7.82,Africa,Lower middle income
Argentina,1960,59885915,3.4,7.11,21.7,23.8,23.21,South America,Upper middle income
Australia,1960,15644063,3.69,7.56,20.1,17.4,16.79,Oceania,High income
Austria,1960,15641652,3.74,7.63,19.4,18.5,2.15,Europe,High income
Bangladesh,1960,134221237,3.73,7.78,20.6,15.8,83.0,Asia,Lower middle income
Belgium,1960,86624305,3.56,7.01,18.4,21.6,1678.42,Europe,High income
Brazil,1960,921616767,3.53,7.69,20.6,17.2,129.4,South America,Upper middle income
Bulgaria,1960,70821854,3.4,7.75,20.6,23.5,10.77,Europe,Upper middle income
Canada,1960,2107420,3.26,7.37,19.1,17.4,0.22,North America,High income
Chile,1960,96992489,3.74,7.63,21.2,20.0,16.81,South America,High income
China,1960,1257041829,3.32,7.72,19.1,15.2,194.74,Asia,Upper middle income
Colombia,1960,21273294,3.76,7.95,21.7,18.7,136.76,South America,Upper middle income
Croatia,1960,18223405,3.46,7.97,21.9,23.5,6.19,Europe,High income
Czech Republic,1960,18381280,3.71,7.32,18.7,20.6,1.96,Europe,High income
Denmark,1960,30459012,3.54,7.1,20.5,24.9,21.73,Europe,High income
Egypt,1960,52499405,3.73,7.74,20.8,22.0,14.6,Africa,Lower middle income
Ethiopia,1960,43222904,3.69,7.81,21.5,24.1,8.45,Africa,Lower middle income
Finland,1960,29158352,3.68,7.65,20.8,23.0,3.28,Europe,High income
France,1960,130133521,3.43,7.09,20.3,15.4,27.95,Europe,High income
Germany,1960,45108894,3.37,7.59,18.1,15.4,5.48,Europe,High income
Ghana,1960,29249857,3.28,7.52,21.1,17.2,4.7,Africa,Lower middle income
Greece,1960,36667866,3.23,7.53,20.2,21.4,5.05,Europe,High income
Hungary,1960,45634194,3.51,7.32,21.2,17.7,10.39,Europe,High income
India,1960,1188505144,3.22,7.96,21.3,22.0,290.58,Asia,Lower middle income
Indonesia,1960,339526984,3.29,7.25,20.2,22.1,51.43,Asia,Lower middle income
Iran,1960,112562198,3.77,7.74,20.2,21.1,26.82,Asia,Upper middle income
Iraq,1960,59261836,3.41,7.76,18.1,16.2,128.56,Asia,Upper middle income
Ireland,1960,4692718,3.71,7.7,19.9,16.0,0.95,Europe,High income
Israel,1960,60774107,3.3,7.43,19.6,21.2,9.57,Asia,High income
Italy,1960,50694342,3.42,7.63,20.0,23.6,7.7,Europe,High income
Japan,1960,144324809,3.24,7.64,18.1,20.9,15.35,Asia,High income
Jordan,1960,94891109,3.43,7.64,19.8,20.5,10.08,Asia,Upper middle income
Kenya,1960,96564921,3.78,7.91,18.8,15.7,95.73,Africa,Lower middle income
Malaysia,1960,80849314,3.26,7.68,18.3,18.2,9.57,Asia,Upper middle income
Mexico,1960,74830478,3.69,7.28,18.5,22.0,11.9,North America,Upper middle income
Morocco,1960,9812327,3.64,7.8,19.1,16.8,1.31,Africa,Lower middle income
Myanmar,1960,68439090,3.79,7.41,19.5,22.8,20.08,Asia,Lower middle income
Netherlands,1960,44043241,3.72,7.43,21.0,22.5,42.67,Europe,High income
New Zealand,1960,12247721,3.5,7.83,19.3,24.0,3.15,Oceania,High income
Nigeria,1960,768006519,3.74,7.09,19.3,24.5,80.79,Africa,Lower middle income
Norway,1960,3487132,3.58,7.45,19.2,18.3,0.52,Europe,High income
Pakistan,1960,1368514583,3.67,7.79,18.4,19.9,2373.71,Asia,Lower middle income
Peru,1960,25915059,3.46,7.89,19.4,16.2,18.11,South America,Upper middle income
Philippines,1960,139254011,3.57,7.1,18.3,22.0,191.14,Asia,Lower middle income
Poland,1960,31205522,3.62,7.08,18.3,24.9,8.34,Europe,High income
Portugal,1960,52030798,3.69,7.95,21.9,22.5,13.83,Europe,High income
Romania,1960,54693692,3.67,7.56,19.7,24.1,49.15,Europe,Upper middle income
Russia,1960,318038960,3.21,7.47,18.2,16.2,270.41,Europe,Upper middle income
Saudi Arabia,1960,96959983,3.65,7.58,21.8,18.7,33.93,Asia,High income
Singapore,1960,77524525,3.33,7.96,18.0,24.7,179.22,Asia,High income
South Africa,1960,93952919,3.52,7.99,18.3,20.5,9.69,Africa,Upper middle income
South Korea,1960,89487993,3.58,7.7,19.8,21.3,15.31,Asia,High income
Spain,1960,59810102,3.23,7.28,21.8,23.9,13.12,Europe,High income
Sri Lanka,1960,92191329,3.37,7.19,19.9,18.5,15.79,Asia,Lower middle income
Sweden,1960,8894825,3.78,7.99,20.8,20.4,2.87,Europe,High income
Switzerland,1960,19638487,3.61,7.16,21.6,23.2,2.07,Europe,High income
Taiwan,1960,4570467,3.57,7.42,21.7,23.7,10.09,Asia,High income
Tanzania,1960,32566766,3.43,7.81,21.9,16.5,5.48,Africa,Low income
Thailand,1960,89961912,3.78,7.84,21.4,19.7,21.68,Asia,Upper middle income
Turkey,1960,68842825,3.23,7.86,21.3,25.0,6.91,Asia,Upper middle income
Ukraine,1960,82882314,3.66,7.94,21.4,17.5,18.39,Europe,Lower middle income
United Kingdom,1960,84215598,3.77,7.61,18.9,21.7,13.62,Europe,High income
United States,1960,457355039,3.27,7.67,20.1,22.7,87.92,North America,High income
Uzbekistan,1960,54292473,3.53,7.56,21.5,19.0,40.49,Asia,Lower middle income
Venezuela,1960,14135376,3.65,7.62,20.8,17.1,10.36,South America,Upper middle income
Vietnam,1960,164395456,3.41,7.59,19.6,19.4,18.18,Asia,Lower middle income
Yemen,1960,7501336,3.51,7.78,19.6,21.2,0.87,Asia,Lower middle income
Zimbabwe,1960,98689349,3.29,7.93,20.0,17.6,21.49,Africa,Lower middle income
Angola,1960,77235864,3.5,7.33,20.5,17.4,101.69,Africa,Lower middle income
Azerbaijan,1960,19911632,3.28,7.15,18.6,21.4,10.94,Asia,Upper middle income
Belarus,1960,601935,3.74,7.47,20.7,16.7,0.31,Europe,Upper middle income
Belize,1960,81555369,3.3,7.28,18.7,15.9,67.56,North America,Upper middle income
Benin,1960,70700391,3.32,7.36,20.0,21.9,179.41,Africa,Lower middle income
Bhutan,1960,72914266,3.58,7.08,21.5,24.2,119.2,Asia,Lower middle income
Bolivia,1960,77138471,3.68,7.75,18.7,17.1,20.82,South America,Lower middle income
Botswana,1960,7450762,3.57,7.37,19.9,22.5,20.26,Africa,Upper middle income
Brunei,1960,35878649,3.63,7.9,20.0,20.3,33.45,Asia,High income
Burkina Faso,1960,11631112,3.52,7.24,19.1,18.8,57.67,Africa,Low income
Burundi,1960,86317187,3.33,7.33,18.5,23.9,14.54,Africa,Low income
Cambodia,1960,62348647,3.67,7.5,18.3,20.4,10.62,Asia,Lower middle income
Cameroon,1960,33123257,3.46,7.13,19.1,18.6,5.13,Africa,Lower middle income
Cape Verde,1960,6402657,3.41,7.99,20.4,17.4,6.28,Africa,Lower middle income
Central African Republic,1960,31132683,3.35,7.16,18.7,17.9,17.95,Africa,Low income
Chad,1960,32552073,3.25,7.52,19.6,24.8,29.03,Africa,Low income
Comoros,1960,72974137,3.78,7.87,21.3,17.6,42.68,Africa,Lower middle income
Congo,1960,63773869,3.76,7.56,20.3,17.8,8.29,Africa,Lower middle income
Costa Rica,1960,88726913,3.39,7.43,20.0,17.4,77.2,North America,Upper middle income
Cuba,1960,47247881,3.37,7.58,18.6,19.8,8.87,North America,Upper middle income
Cyprus,1960,12003444,3.4,7.13,18.3,24.9,3.72,Asia,High income
Djibouti,1960,71338816,3.35,7.68,21.0,21.0,15.13,Africa,Lower middle income
Dominican Republic,1960,76090465,3.41,7.93,21.3,24.7,61.17,North America,Upper middle income
Ecuador,1960,56149655,3.76,7.18,18.3,22.4,9.77,South America,Upper middle income
El Salvador,1960,77108169,3.28,7.8,18.8,16.6,46.92,North America,Upper middle income
Equatorial Guinea,1960,49404869,3.6,7.52,19.4,23.8,12.59,Africa,Upper middle income
Eritrea,1960,52297146,3.46,7.38,19.9,18.0,7.0,Africa,Low income
Estonia,1960,42782724,3.34,7.9,19.5,20.4,4.72,Europe,High income
Fiji,1960,2590641,3.27,7.94,20.5,18.3,1.86,Oceania,Upper middle income
Gabon,1960,10833748,3.57,7.53,21.6,22.9,7.14,Africa,Upper middle income
Gambia,1960,3191347,3.35,7.74,18.1,20.7,0.42,Africa,Low income
Georgia,1960,63659220,3.41,7.82,18.4,23.5,49.9,Asia,Upper middle income
Guatemala,1960,31469880,3.68,7.15,18.9,22.2,4.37,North America,Upper middle income
Guinea,1960,50881640,3.62,7.54,19.0,18.5,28.01,Africa,Low income
Guinea-Bissau,1960,90761269,3.55,7.4,19.8,24.5,59.15,Africa,Low income
Guyana,1960,24966758,3.5,7.61,18.1,23.7,2.68,South America,Upper middle income
Haiti,1960,41067773,3.62,7.92,20.8,16.5,7.13,North America,Lower middle income
Honduras,1960,75567336,3.45,7.74,21.7,24.3,16.76,North America,Lower middle income
Iceland,1960,22918376,3.79,7.84,18.5,24.2,2.63,Europe,High income
Jamaica,1960,7744141,3.55,7.4,18.2,18.4,0.96,North America,Upper middle income
Kazakhstan,1960,29010657,3.4,7.4,20.1,24.2,8.37,Asia,Upper middle income
Kuwait,1960,16164067,3.64,7.45,18.9,19.5,11.47,Asia,High income
Kyrgyzstan,1960,92973280,3.5,7.42,21.7,18.6,16.01,Asia,Lower middle income
Laos,1960,80821631,3.21,7.66,18.7,24.6,54.33,Asia,Lower middle income
Latvia,1960,63358705,3.25,8.0,20.0,21.0,94.33,Europe,High income
Lebanon,1960,87152485,3.33,7.9,18.8,16.9,237.82,Asia,Upper middle income
Lesotho,1960,80377024,3.54,7.07,21.1,19.5,15.33,Africa,Lower middle income
Liberia,1960,18697677,3.44,7.56,18.6,16.8,2.17,Africa,Low income
Libya,1960,89261271,3.42,7.27,20.6,19.1,350.27,Africa,Upper middle income
Lithuania,1960,53957257,3.63,7.66,18.1,17.2,23.34,Europe,High income
