"country","population"
Pakistan,1584735081990
China,1437123199425
India,1376120904822
Brazil,980251382854
Nigeria,879472128184
United States,487564207233
Indonesia,379184013659
Russia,338200144296
Vietnam,175977143194
Japan,155326811578
Bangladesh,152253814669
Philippines,147968133304
France,137171677804
Iran,126454828672
Papua New Guinea,109374218215
Zimbabwe,108191352083
Chile,108110045206
Trinidad and Tobago,108047758857
Nicaragua,103935114522
Albania,103887235643
Saudi Arabia,103705577517
Kenya,102536745002
South Africa,102081032895
Jordan,101574795080
Paraguay,101407102320
Guinea-Bissau,100507053941
Madagascar,100343577779
Kyrgyzstan,98616823273
Sri Lanka,98537924823
South Korea,97905857872
Thailand,97818846783
Suriname,97018003561
Costa Rica,96598843005
Belgium,96568715071
Burundi,96330784243
Lebanon,95369297014
Mauritius,94180156504
Libya,93926620840
Ukraine,92965577144
Mauritania,91853347386
Malaysia,91334891119
United Kingdom,89972649887
Luxembourg,88738828021
Lesotho,87877488173
Singapore,86686246085
Belize,86159647505
Bolivia,86148344297
Laos,85073072079
Honduras,84904262928
Algeria,82773277138
Dominican Republic,82700721502
Angola,82391646445
El Salvador,82133711034
Uganda,81336759271
Mexico,80288334249
Oman,79202464937
Bhutan,79057370074
Comoros,79032282488
Myanmar,77317075128
Turkey,77138235298
Djibouti,76969452432
Uruguay,76499191281
Bulgaria,74847690585
Turkmenistan,74639656690
Benin,74457825724
Georgia,71139438554
Congo,70562535591
Latvia,68693668587
Argentina,66785560269
Cambodia,66618269782
Spain,66546674199
Slovakia,66337845691
Iraq,66113163248
Israel,65408214573
Ecuador,62460216932
Lithuania,58483642671
Uzbekistan,58424953052
Romania,58143177320
Egypt,57697587601
North Korea,57643158698
Eritrea,57619138303
Slovenia,56803470837
Mongolia,56519297816
Portugal,56018431215
Italy,55837279183
Guinea,54808441591
Equatorial Guinea,54005037396
Rwanda,52942494537
Togo,52166462158
Hungary,49971551888
Cuba,49871895424
Ethiopia,48498629426
Germany,48320669274
Netherlands,47913448793
Malta,47785460115
Estonia,45576243203
Montenegro,44539864368
Haiti,44322600395
Afghanistan,41619019163
Panama,40193021535
Zambia,40119911920
Greece,39174027608
Brunei,38073446767
Nepal,35939889687
Niger,35898507568
Chad,35684504198
Cameroon,34913777835
Malawi,34906711436
Poland,34568444003
Tanzania,34356152851
Guatemala,34222000601
Central African Republic,33281075333
Denmark,32487468832
Senegal,32304804370
Kazakhstan,32074674512
Ghana,31289303322
Finland,30861142112
Serbia,30614377156
Sudan,29373832358
Peru,28477247628
Guyana,28137118925
Qatar,26961700817
Tunisia,26628224162
United Arab Emirates,26126048772
Syria,26061115252
Mali,25263172057
Iceland,25019468392
Mozambique,24924210258
Colombia,22403251623
Azerbaijan,22166687260
Switzerland,21228662762
Czech Republic,20647428225
Liberia,20272881857
Croatia,19698724476
Kuwait,18195865643
Austria,17654575025
Australia,16929882920
Tajikistan,15966891519
Venezuela,15192988900
Cyprus,13462866812
Burkina Faso,13133153135
Namibia,12962717570
New Zealand,12894568112
Maldives,12470196467
Gabon,12095092215
Morocco,10739101440
Sweden,9501180078
Jamaica,8398533781
Botswana,8320247648
Yemen,8030618745
Cape Verde,6818251155
Somalia,5501805374
Ireland,5251533055
Taiwan,4964876526
Sierra Leone,3943206685
Norway,3744875903
Gambia,3464318233
Fiji,2751228529
Canada,2307773167
Moldova,790185337
Belarus,651219885
